Name1	Name2	Connection
王成	李纨	1
贾演	贾敷	1
王荣	李贵	6
李贵	秦业	4
空空道人	渺渺真人	1
空空道人	茫茫大士	1
渺渺真人	茫茫大士	1
空空道人	王仁	1
王成	贾芹	1
神瑛侍者	贾珠	1
神瑛侍者	警幻仙子	1
鸳鸯	王成	1
王荣	贾演	2
王荣	王夫人	4
贾演	王夫人	1
贾政	林如海	3
贾兰	林如海	1
秦业	林如海	1
史鼎	秦钟	2
智通	王信	1
智通	贾环	1
王信	贾环	1
王荣	史鼎	3
王荣	秦钟	16
贾敷	贾敬	1
贾敷	贾代化	1
贾敬	贾代化	2
贾蓉	贾珍	13
王荣	贾政	6
王荣	贾代善	1
王荣	贾赦	4
贾政	贾代善	2
贾政	贾赦	8
贾代善	贾赦	2
贾政	王夫人	5
贾代善	王夫人	1
贾赦	王夫人	3
李公子	贾政	1
李公子	贾珠	2
李公子	王夫人	1
贾政	贾珠	1
贾珠	王夫人	2
贾宝玉	李公子	2
傅试	贾政	4
王成	王仁	1
贾敬	贾芝	1
李贵	王荣	3
贾元春	贾政	1
贾惜春	贾探春	2
贾惜春	贾珍	1
贾惜春	贾赦	1
贾惜春	贾迎春	2
贾惜春	贾政	1
贾探春	贾珍	1
贾探春	贾赦	1
贾探春	贾迎春	3
贾探春	贾政	1
贾珍	贾赦	8
贾珍	贾迎春	1
贾珍	贾政	6
贾赦	贾迎春	1
贾赦	贾政	8
贾迎春	贾政	1
贾赦	贾敏	1
贾赦	李贵	1
贾赦	王荣	1
王夫人	贾敏	1
王夫人	李贵	1
王夫人	王荣	2
王夫人	贾政	3
贾敏	李贵	1
贾敏	王荣	1
贾敏	贾政	1
李贵	贾政	5
玉儿	王成	1
玉儿	贾政	1
玉儿	贾赦	1
王成	贾政	3
王成	贾赦	1
贾琏	王夫人	2
贾琏	贾赦	4
贾琏	贾政	7
王夫人	贾赦	1
王荣	林如海	2
贾赦	林如海	1
王信	林如海	2
王荣	林黛玉	5
林黛玉	林如海	2
贾政	史太君	1
史太君	贾赦	1
林黛玉	贾珠	1
林黛玉	贾效	1
翡翠	贾珠	1
贾琏	林黛玉	6
王熙凤	贾琏	1
王熙凤	林黛玉	1
王熙凤	贾赦	1
林黛玉	贾赦	2
林黛玉	王熙凤	3
李嬷嬷	林黛玉	9
林黛玉	王夫人	11
王荣	贾源	2
史鼎	玻璃	1
