Name1	Name2	Connection
王成	李纨	7
贾演	贾敷	2
王荣	李贵	8
李贵	秦业	4
空空道人	渺渺真人	1
空空道人	茫茫大士	1
渺渺真人	茫茫大士	1
空空道人	王仁	1
王成	贾芹	1
神瑛侍者	贾珠	1
神瑛侍者	警幻仙子	1
鸳鸯	王成	16
王荣	贾演	3
王荣	王夫人	7
贾演	王夫人	3
贾政	林如海	3
贾兰	林如海	1
秦业	林如海	1
史鼎	秦钟	2
智通	王信	2
智通	贾环	1
王信	贾环	2
王荣	史鼎	3
王荣	秦钟	16
贾敷	贾敬	1
贾敷	贾代化	1
贾敬	贾代化	2
贾蓉	贾珍	58
王荣	贾政	8
王荣	贾代善	1
王荣	贾赦	8
贾政	贾代善	2
贾政	贾赦	18
贾代善	贾赦	2
贾政	王夫人	20
贾代善	王夫人	1
贾赦	王夫人	14
李公子	贾政	2
李公子	贾珠	2
李公子	王夫人	1
贾政	贾珠	4
贾珠	王夫人	7
贾宝玉	李公子	8
傅试	贾政	8
王成	王仁	2
贾敬	贾芝	1
李贵	王荣	5
贾元春	贾政	2
贾惜春	贾探春	21
贾惜春	贾珍	2
贾惜春	贾赦	1
贾惜春	贾迎春	20
贾惜春	贾政	2
贾探春	贾珍	1
贾探春	贾赦	1
贾探春	贾迎春	17
贾探春	贾政	2
贾珍	贾赦	16
贾珍	贾迎春	1
贾珍	贾政	12
贾赦	贾迎春	1
贾赦	贾政	11
贾迎春	贾政	2
贾赦	贾敏	1
贾赦	李贵	1
贾赦	王荣	1
王夫人	贾敏	1
王夫人	李贵	2
王夫人	王荣	2
王夫人	贾政	9
贾敏	李贵	1
贾敏	王荣	1
贾敏	贾政	1
李贵	贾政	8
玉儿	王成	1
玉儿	贾政	1
玉儿	贾赦	1
王成	贾政	9
王成	贾赦	1
贾琏	王夫人	19
贾琏	贾赦	17
贾琏	贾政	11
王夫人	贾赦	1
王荣	林如海	2
贾赦	林如海	1
王信	林如海	2
王荣	林黛玉	6
林黛玉	林如海	2
贾政	史太君	1
史太君	贾赦	1
林黛玉	贾珠	5
林黛玉	贾效	2
翡翠	贾珠	1
贾琏	林黛玉	9
王熙凤	贾琏	1
王熙凤	林黛玉	1
王熙凤	贾赦	1
林黛玉	贾赦	3
林黛玉	王熙凤	4
李嬷嬷	林黛玉	11
林黛玉	王夫人	24
王荣	贾源	3
史鼎	玻璃	1
贾政	林黛玉	3
王熙凤	贾珠	1
王熙凤	王夫人	4
贾迎春	贾探春	11
贾迎春	贾惜春	5
贾探春	贾惜春	3
贾宝玉	林黛玉	231
贾宝玉	王成	54
贾宝玉	贾珠	16
王成	贾珠	2
贾宝玉	贾效	2
贾宝玉	李纨	20
贾效	李纨	1
王成	林黛玉	23
雪雁	林黛玉	7
雪雁	李嬷嬷	2
林黛玉	李嬷嬷	2
贾迎春	李嬷嬷	2
贾宝玉	袭人	190
贾宝玉	李嬷嬷	22
袭人	李嬷嬷	13
贾珠	袭人	1
贾珠	贾珍	9
袭人	贾珍	4
袭人	王成	12
王信	王熙凤	1
王信	王夫人	9
贾探春	林黛玉	34
贾探春	薛蟠	1
林黛玉	薛蟠	1
王信	王子腾	3
贾兰	贾珠	2
李守中	李纨	1
王荣	王成	3
李贵	王成	1
李贵	冯渊	1
王成	薛蟠	5
薛蟠	冯渊	2
王信	贾政	3
贾政	王子腾	2
李公子	冯渊	1
李公子	王成	3
李公子	薛蟠	1
王子腾	薛蟠	1
王子腾	王夫人	6
王子腾	王荣	1
王子腾	贾政	1
薛蟠	王夫人	5
薛蟠	王荣	1
薛蟠	贾政	3
薛宝钗	薛蟠	20
王荣	薛蟠	3
薛蟠	贾珍	10
薛蟠	贾赦	3
薛蟠	贾琏	3
贾珍	贾琏	11
贾赦	贾琏	6
贾迎春	薛宝钗	21
贾迎春	林黛玉	6
贾迎春	秦业	2
薛宝钗	林黛玉	94
薛宝钗	秦业	2
林黛玉	秦业	1
薛蟠	李纨	1
贾政	贾珍	8
贾惜春	贾宝玉	9
贾惜春	林黛玉	17
贾惜春	王荣	1
贾探春	贾宝玉	15
贾探春	王荣	1
贾宝玉	王荣	8
贾宝玉	贾迎春	11
林黛玉	王荣	1
林黛玉	贾迎春	14
王荣	贾迎春	1
尤氏	贾珍	27
尤氏	王夫人	32
贾珍	王夫人	16
王荣	贾芳	2
贾宝玉	贾芳	51
王狗	贾宝玉	3
王狗	袭人	2
王狗	晴雯	1
贾宝玉	晴雯	65
袭人	晴雯	47
贾兰	贾环	15
傅试	贾宝玉	8
李贵	贾宝玉	14
贾宝玉	贾兰	17
李公子	贾兰	2
